image,condition,ty,tx,fg_fraction,skel_len_per_mm2,branch_per_mm2,endpoint_per_mm2,endpoint_branch_ratio,mean_thickness_um,ramification,cluster
F_WT_2,WT,1600,2800,0.3088,533422.8,77458.8,69901.8,0.881,1.907,14.52,1
F_WT_2,WT,1600,3000,0.0574,548245.6,51179.3,76769.0,1.2,1.957,9.34,1
F_WT_2,WT,1800,0,0.0973,510019.8,59948.0,59948.0,0.909,2.146,11.75,1
F_WT_2,WT,1800,200,0.3148,578973.5,74141.1,63019.9,0.829,1.899,12.81,1
F_WT_2,WT,1800,400,0.2353,692404.2,86785.2,79346.4,0.889,1.447,12.53,2
F_WT_2,WT,1800,600,0.2059,633639.9,76526.6,102035.4,1.286,1.495,12.08,2
F_WT_2,WT,1800,800,0.189,581984.4,80240.9,89499.5,1.074,1.676,13.79,1
F_WT_2,WT,1800,1000,0.2481,618649.5,79948.0,61136.7,0.743,1.683,12.92,1
F_WT_2,WT,1800,1200,0.0773,582584.0,52817.4,90544.2,1.5,1.331,9.07,3
F_WT_2,WT,1800,1400,0.1219,719140.1,62208.5,76564.3,1.143,1.302,8.65,2
F_WT_2,WT,1800,1600,0.2075,537868.2,64678.7,81551.4,1.208,1.918,12.03,1
F_WT_2,WT,1800,1800,0.0927,638045.8,75486.0,150972.1,1.846,1.413,11.83,2
F_WT_2,WT,1800,2000,0.1771,635072.7,59316.6,98860.9,1.579,1.512,9.34,2
F_WT_2,WT,1800,2200,0.1239,634569.7,61216.9,131851.8,2.0,1.451,9.65,3
F_WT_2,WT,1800,2400,0.1358,505850.6,42947.7,94484.9,2.0,1.679,8.49,3
F_WT_2,WT,1800,2600,0.1843,505965.1,60157.0,120314.1,1.9,1.788,11.89,3
F_WT_2,WT,1800,2800,0.2487,550148.8,72717.9,70372.2,0.938,1.79,13.22,1
F_WT_2,WT,2000,0,0.0318,635246.7,36752.4,73504.8,1.333,1.591,5.79,3
F_WT_2,WT,2000,200,0.3118,538877.8,71117.5,52402.4,0.718,1.888,13.2,1
F_WT_2,WT,2000,400,0.1869,641666.9,68677.2,96772.4,1.348,1.537,10.7,2
F_WT_2,WT,2000,600,0.1724,558410.7,74464.2,125235.3,1.609,1.641,13.34,2
F_WT_2,WT,2000,800,0.1653,620210.1,52936.1,81168.7,1.438,1.406,8.54,1
F_WT_2,WT,2000,1000,0.1602,635428.9,80110.9,101959.4,1.217,1.636,12.61,2
F_WT_2,WT,2000,1200,0.1638,672435.5,67676.7,85486.3,1.2,1.412,10.06,2
F_WT_2,WT,2000,1400,0.3559,589699.1,75399.4,70482.1,0.915,1.896,12.79,1
F_WT_2,WT,2000,1600,0.3043,586648.3,72864.6,51772.2,0.692,1.944,12.42,1
F_WT_2,WT,2000,1800,0.1909,631385.0,73350.8,88632.2,1.16,1.508,11.62,2
F_WT_2,WT,2000,2000,0.1475,614710.2,51404.8,86992.7,1.571,1.362,8.36,3
F_WT_2,WT,2000,2200,0.1141,599232.9,56260.2,102291.3,1.667,1.506,9.39,3
F_WT_2,WT,2000,2400,0.1116,421867.0,31353.9,62707.8,1.714,1.673,7.43,3
F_WT_2,WT,2000,2600,0.2115,555678.3,71732.1,96562.5,1.296,1.674,12.91,1
F_WT_2,WT,2000,2800,0.2254,512832.9,59541.7,90607.0,1.458,1.812,11.61,1
F_WT_2,WT,2200,200,0.2411,479935.6,67765.0,60504.4,0.862,2.259,14.12,0
